// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 2 benchmarks:
//   SortingBenchmarks.MergeSort: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   SortingBenchmarks.StandardSort: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
// **************************
// Benchmark: SortingBenchmarks.MergeSort: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
// *** Execute ***
// Launch: 1 / 2

// Benchmark Process Environment Information:
// Runtime=.NET Framework 4.8.1 (4.8.9166.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

WorkloadResult  13: 2048 op, 866185900.00 ns, 422.9423 us/op
WorkloadResult  14: 2048 op, 864166300.00 ns, 421.9562 us/op
WorkloadResult  15: 2048 op, 862281700.00 ns, 421.0360 us/op
// GC:  255 0 0 1342117084 2048
// Threading:  0 0 2048

// Launch: 2 / 2

// Benchmark Process Environment Information:
// Runtime=.NET Framework 4.8.1 (4.8.9166.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

OverheadJitting  1: 1 op, 1600.00 ns, 1.6000 us/op
WorkloadJitting  1: 1 op, 846500.00 ns, 846.5000 us/op

OverheadJitting  2: 16 op, 200.00 ns, 12.5000 ns/op
WorkloadJitting  2: 16 op, 6946200.00 ns, 434.1375 us/op

WorkloadPilot    1: 16 op, 7070700.00 ns, 441.9188 us/op
WorkloadPilot    2: 32 op, 13809800.00 ns, 431.5563 us/op
WorkloadPilot    3: 64 op, 27592700.00 ns, 431.1359 us/op
WorkloadPilot    4: 128 op, 53632100.00 ns, 419.0008 us/op
WorkloadPilot    5: 256 op, 108094900.00 ns, 422.2457 us/op
WorkloadPilot    6: 512 op, 215533200.00 ns, 420.9633 us/op
WorkloadPilot    7: 1024 op, 423959900.00 ns, 414.0233 us/op
WorkloadPilot    8: 2048 op, 872254500.00 ns, 425.9055 us/op

OverheadWarmup   1: 2048 op, 3000.00 ns, 1.4648 ns/op
OverheadWarmup   2: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadWarmup   3: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadWarmup   4: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadWarmup   5: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadWarmup   6: 2048 op, 2900.00 ns, 1.4160 ns/op

OverheadActual   1: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadActual   2: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadActual   3: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadActual   4: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadActual   5: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadActual   6: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadActual   7: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadActual   8: 2048 op, 2900.00 ns, 1.4160 ns/op
OverheadActual   9: 2048 op, 4500.00 ns, 2.1973 ns/op
OverheadActual  10: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadActual  11: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadActual  12: 2048 op, 2700.00 ns, 1.3184 ns/op
OverheadActual  13: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadActual  14: 2048 op, 2800.00 ns, 1.3672 ns/op
OverheadActual  15: 2048 op, 2700.00 ns, 1.3184 ns/op

WorkloadWarmup   1: 2048 op, 887917700.00 ns, 433.5536 us/op
WorkloadWarmup   2: 2048 op, 928597800.00 ns, 453.4169 us/op
WorkloadWarmup   3: 2048 op, 879333400.00 ns, 429.3620 us/op
WorkloadWarmup   4: 2048 op, 886272800.00 ns, 432.7504 us/op
WorkloadWarmup   5: 2048 op, 882551000.00 ns, 430.9331 us/op
WorkloadWarmup   6: 2048 op, 852981000.00 ns, 416.4946 us/op
WorkloadWarmup   7: 2048 op, 860799200.00 ns, 420.3121 us/op
WorkloadWarmup   8: 2048 op, 892127200.00 ns, 435.6090 us/op
WorkloadWarmup   9: 2048 op, 881346700.00 ns, 430.3451 us/op
WorkloadWarmup  10: 2048 op, 837248300.00 ns, 408.8126 us/op

WorkloadActual   1: 2048 op, 879697500.00 ns, 429.5398 us/op
WorkloadActual   2: 2048 op, 883408100.00 ns, 431.3516 us/op
WorkloadActual   3: 2048 op, 872714900.00 ns, 426.1303 us/op
WorkloadActual   4: 2048 op, 881896200.00 ns, 430.6134 us/op
WorkloadActual   5: 2048 op, 971413600.00 ns, 474.3230 us/op
WorkloadActual   6: 2048 op, 879819100.00 ns, 429.5992 us/op
WorkloadActual   7: 2048 op, 907107300.00 ns, 442.9235 us/op
WorkloadActual   8: 2048 op, 903472000.00 ns, 441.1484 us/op
WorkloadActual   9: 2048 op, 864210500.00 ns, 421.9778 us/op
WorkloadActual  10: 2048 op, 859514200.00 ns, 419.6847 us/op
WorkloadActual  11: 2048 op, 861072200.00 ns, 420.4454 us/op
WorkloadActual  12: 2048 op, 903141900.00 ns, 440.9873 us/op
WorkloadActual  13: 2048 op, 869928700.00 ns, 424.7699 us/op
WorkloadActual  14: 2048 op, 876004900.00 ns, 427.7368 us/op
WorkloadActual  15: 2048 op, 864820400.00 ns, 422.2756 us/op

WorkloadResult   1: 2048 op, 879694700.00 ns, 429.5384 us/op
WorkloadResult   2: 2048 op, 883405300.00 ns, 431.3502 us/op
WorkloadResult   3: 2048 op, 872712100.00 ns, 426.1290 us/op
WorkloadResult   4: 2048 op, 881893400.00 ns, 430.6120 us/op
WorkloadResult   5: 2048 op, 879816300.00 ns, 429.5978 us/op
WorkloadResult   6: 2048 op, 907104500.00 ns, 442.9221 us/op
WorkloadResult   7: 2048 op, 903469200.00 ns, 441.1471 us/op
WorkloadResult   8: 2048 op, 864207700.00 ns, 421.9764 us/op
