Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Rank;Gen0;Allocated
StandardSort;MediumRun;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessNoEmitToolchain;Default;Default;15;Default;2;Default;Default;Default;Default;Default;Default;16;10;103.6 μs;0.59 μs;0.81 μs;1;-;0 B
HeapBasedSearch;MediumRun;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessNoEmitToolchain;Default;Default;15;Default;2;Default;Default;Default;Default;Default;Default;16;10;168.6 μs;2.69 μs;3.94 μs;2;-;338 B
MergeSort;MediumRun;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;InProcessNoEmitToolchain;Default;Default;15;Default;2;Default;Default;Default;Default;Default;Default;16;10;435.6 μs;5.90 μs;8.28 μs;3;124.5117;655331 B
